#,Fuente Varian,,,,Fuente MonoE 6 MeV,,
 #E(MeV) ,compt,phot,conv,,compt,phot,conv
5.29,1.05274E-07,0,0,,0.00655374,0,0
5.31,9.47843E-08,0,0,,0.00670576,0,0
5.33,8.21151E-08,0,0,,0.00691364,0,0
5.35,7.85732E-08,0,0,,0.0070727,2E-08,0
5.37,7.49972E-08,0,0,,0.00730538,0,0
5.39,6.99568E-08,0,0,,0.00753428,0,0
5.41,6.37243E-08,3.4059E-11,0,,0.00776096,0,0
5.43,5.60956E-08,0,0,,0.00802974,0,0
5.45,4.99651E-08,0,0,,0.00832488,2E-08,0
5.47,4.79215E-08,0,0,,0.00862866,0,0
5.49,4.33234E-08,0,0,,0.00898192,2E-08,0
5.51,3.47743E-08,3.4059E-11,0,,0.0093472,4E-08,0
5.53,3.35822E-08,0,0,,0.00971502,2E-08,0
5.55,2.70087E-08,0,0,,0.0101479,0,0
5.57,2.43861E-08,0,0,,0.0106391,4E-08,0
5.59,1.93114E-08,0,0,,0.0112014,0,0
5.61,1.52244E-08,0,0,,0.0118082,2E-08,0
5.63,1.20569E-08,0,0,,0.0125117,0,0
5.65,9.4003E-09,0,0,,0.0132421,2E-08,0
5.67,7.52704E-09,3.4059E-11,0,,0.0141206,2E-08,0
5.69,4.63202E-09,0,0,,0.0151345,2E-08,0
5.71,2.69066E-09,0,0,,0.0163068,0,0
5.73,8.51475E-10,0,0,,0.0175809,0,0
5.75,2.04354E-10,0,0,,0.0139088,2E-08,0
5.77,0,0,0,,0.00025344,0,0
5.79,0,0,0,,1.002E-05,0,0
5.81,0,0,0,,1.26E-06,0,0
5.83,0,0,0,,3.4E-07,0,0
5.85,0,0,0,,8E-08,4E-08,0
5.87,0,0,0,,8E-08,6E-08,0
5.89,0,0,0,,0,2E-08,0
5.91,0,0,0,,4E-08,2E-08,0
5.93,0,0,0,,0,2E-08,0
5.95,0,0,0,,0,0,0
5.97,0,0,0,,0,0,0
5.99,0,0,0,,0,7.88E-06,0
6.01,0,0,0,,0,0,0
