#Table:,,,#Table:,,
 #x(mm)/E(MeV) ,       EdepTotal ,, #x(mm)/E(MeV) ,        E_proton ,       EdepTotal 
715,91014800,,357.5,7070.99,2691930000000
717,90266900,,358.5,6801.94,2774350000000
719,89789100,,359.5,6495.03,2866100000000
721,88867900,,360.5,6085.92,2983500000000
723,87719500,,361.5,5664.33,3085200000000
725,86900900,,362.5,5136.93,3222650000000
727,85401700,,363.5,4566.6,3361480000000
729,84661100,,364.5,3937.28,3536000000000
731,84155200,,365.5,3310.49,3722190000000
733,83185700,,366.5,2693.02,3936910000000
735,82347300,,367.5,2129.2,4178510000000
737,81482800,,368.5,1642.98,4456680000000
739,80604200,,369.5,1250.87,4752910000000
741,80494500,,370.5,949.985,5052390000000
743,79499900,,371.5,731.051,5329820000000
745,78178500,,372.5,574.773,5533290000000
747,77922200,,373.5,468.085,5631840000000
749,76767200,,374.5,397.528,5572260000000
751,75839100,,375.5,356.597,5320720000000
753,75050900,,376.5,334.619,4887550000000
755,74246800,,377.5,337.59,4267720000000
757,73845500,,378.5,360.436,3549850000000
759,72704300,,379.5,413.365,2781130000000
761,72381700,,380.5,507.15,2056980000000
763,71809300,,381.5,668.161,1424960000000
765,70769700,,382.5,948.617,921933000000
767,69640400,,383.5,1476.12,551712000000
769,69173200,,384.5,2470.76,308566000000
771,68464700,,385.5,4394.89,161345000000
773,67364200,,386.5,8820.61,76654600000
775,66930200,,387.5,17990,34651400000
777,66411900,,388.5,45163.3,13667600000
779,65456200,,389.5,109408,5216200000
781,65156000,,390.5,392490,1712110000
783,64645900,,391.5,932024,626247000
785,63659200,,392.5,876748,188780000
787,63300300,,393.5,382015,25362300
789,62577400,,394.5,0,0
791,61740400,,395.5,0,0
793,61339800,,396.5,0,0
795,60595400,,397.5,0,0
797,59993000,,398.5,0,0
799,59381100,,399.5,0,0
801,58111500,,400.5,0,0
803,57786800,,401.5,0,0
805,57595400,,402.5,0,0
807,56669100,,403.5,0,0
809,56184200,,404.5,0,0
811,55458000,,405.5,0,0
813,55276400,,406.5,0,0
815,54639900,,407.5,0,0
817,54171000,,408.5,0,0
819,53484300,,409.5,0,0
821,52663000,,410.5,0,0
823,52139500,,411.5,0,0
825,51332100,,412.5,0,0
827,51277900,,413.5,0,0
829,50259200,,414.5,0,0
831,50305200,,415.5,0,0
833,49603600,,416.5,0,0
835,48858700,,417.5,0,0
837,48717600,,418.5,0,0
839,47829300,,419.5,0,0
841,47853200,,420.5,0,0
843,47195200,,421.5,0,0
845,46304300,,422.5,0,0
847,46207500,,423.5,0,0
849,45690000,,424.5,0,0
851,44737400,,425.5,0,0
853,44499500,,426.5,0,0
855,44150400,,427.5,0,0
857,43799000,,428.5,0,0
859,42908800,,429.5,0,0
861,42341200,,430.5,0,0
863,42025600,,431.5,0,0
865,41535000,,432.5,0,0
867,41326800,,433.5,0,0
869,40955100,,434.5,0,0
871,40466300,,435.5,0,0
873,40121100,,436.5,0,0
875,39839400,,437.5,0,0
877,39043400,,438.5,0,0
879,38986900,,439.5,0,0
881,38516900,,440.5,0,0
883,37928100,,441.5,0,0
885,37585800,,442.5,0,0
887,37186100,,443.5,0,0
889,36509600,,444.5,0,0
891,36426500,,445.5,0,0
893,35939600,,446.5,0,0
895,36256500,,447.5,0,0
897,35076600,,448.5,0,0
899,34646900,,449.5,0,0
901,34241500,,450.5,0,0
903,34036500,,451.5,0,0
905,33409700,,452.5,0,0
907,33436000,,453.5,0,0
909,32864700,,454.5,0,0
911,32712200,,455.5,0,0
913,32408800,,456.5,0,0
915,31915600,,457.5,0,0
917,31458900,,458.5,0,0
919,31480800,,459.5,0,0
921,30954900,,460.5,0,0
923,30182800,,461.5,0,0
925,30027400,,462.5,0,0
927,30096400,,463.5,0,0
929,29478900,,464.5,0,0
931,29516700,,465.5,0,0
933,28933000,,466.5,0,0
935,28656600,,467.5,0,0
937,28359500,,468.5,0,0
939,28066000,,469.5,0,0
941,28060000,,470.5,0,0
943,27375800,,471.5,0,0
945,27050600,,472.5,0,0
947,27007100,,473.5,0,0
949,26378300,,474.5,0,0
951,26178000,,475.5,0,0
953,25871900,,476.5,0,0
955,25299800,,477.5,0,0
957,25349400,,478.5,0,0
959,25225800,,479.5,0,0
961,24768900,,480.5,0,0
963,24629100,,481.5,0,0
965,24536200,,482.5,0,0
967,24336700,,483.5,0,0
969,23811400,,484.5,0,0
971,23342700,,485.5,0,0
973,23225300,,486.5,0,0
975,23277000,,487.5,0,0
977,23002800,,488.5,0,0
979,22594200,,489.5,0,0
981,22136800,,490.5,0,0
983,21767900,,491.5,0,0
985,21557300,,492.5,0,0
987,21569100,,493.5,0,0
989,21543200,,494.5,0,0
991,21157100,,495.5,0,0
