#  1,2,3,4,5,6,7,8,9,10
# ,P=0mTorr,P=2mTorr,,P=0mTorr,P=0mTorr,P=2mTorr,P=2mTorr,P=2mTorr,P=2mTorr
# Energy (eV),Intensity (a.u.),Intensity (a.u.), E(MeV) ,        Eforward ,   EforwardInteg ,        Refl-Eforward ,   Refl-EforwardInteg ,        Eforward ,   EforwardInteg 
3.132,276.125754651158,195.932420619459,1.795E-06,0,1000000,1455,501855,896,445413
3.1272,304.425999620194,196.490632644016,1.805E-06,0,1000000,1360,500400,945,444517
3.1224,306.806394056842,196.490632644016,1.815E-06,0,1000000,1369,499040,928,443572
3.1176,309.18678849349,185.326392152879,1.825E-06,0,1000000,1462,497671,996,442644
3.1128,274.274336755988,189.792088349334,1.835E-06,0,1000000,1409,496209,1010,441648
3.108,273.480871943772,217.702689577177,1.845E-06,0,1000000,1417,494800,991,440638
3.1032,289.879144729568,188.67566430022,1.855E-06,0,1000000,1358,493383,975,439647
3.0984,298.342769393205,224.401233871859,1.865E-06,0,1000000,1416,492025,989,438672
3.0936,353.091841436107,199.2816927668,1.875E-06,0,1000000,1499,490609,1025,437683
3.0888,342.512310606561,226.07586994553,1.885E-06,0,1000000,1486,489110,976,436658
3.084,352.298376623891,249.520774976918,1.895E-06,0,1000000,1473,487624,1032,435682
3.0792,353.091841436107,223.843021847302,1.905E-06,0,1000000,1408,486151,1004,434650
3.0744,381.392086405144,252.870047124259,1.915E-06,0,1000000,1464,484743,1010,433646
3.0696,326.90750263298,272.965680008306,1.925E-06,0,1000000,1546,483279,1022,432636
3.0648,343.570263689516,263.476075590839,1.935E-06,0,1000000,1563,481733,1081,431614
3.06,364.200348807131,257.893955345271,1.945E-06,0,1000000,1545,480170,1054,430533
3.0552,394.880988212815,256.777531296157,1.955E-06,0,1000000,1526,478625,1061,429479
3.0504,383.243504300314,261.801439517169,1.965E-06,0,1000000,1618,477099,1112,428418
3.0456,399.112800544634,272.965680008306,1.975E-06,0,1000000,1595,475481,1025,427306
3.0408,432.173834386966,293.061312892353,1.985E-06,0,1000000,1520,473886,1051,426281
3.036,418.420444308556,300.318069211592,1.995E-06,0,1000000,1557,472366,1113,425230
3.0312,407.840913479009,264.034287615396,2.005E-06,0,1000000,1576,470809,1116,424117
3.0264,432.702810928443,310.365885653616,2.015E-06,0,1000000,1574,469233,1110,423001
3.0216,455.184313941229,279.106012278432,2.025E-06,0,1000000,1621,467659,1128,421891
3.0168,475.020934246628,333.810790685004,2.035E-06,0,1000000,1634,466038,1201,420763
3.012,472.905028080719,344.975031176142,2.045E-06,0,1000000,1597,464404,1104,419562
3.0072,458.622661460832,317.622641972855,2.055E-06,0,1000000,1538,462807,1156,418458
3.0024,498.031413800892,300.318069211592,2.065E-06,0,1000000,1649,461269,1148,417302
2.9976,477.665816954015,355.022847618165,2.075E-06,0,1000000,1694,459620,1241,416154
2.9928,500.676296508278,344.975031176142,2.085E-06,0,1000000,1722,457926,1198,414913
2.988,540.614025389815,366.187088109302,2.095E-06,0,1000000,1670,456204,1205,413715
2.9832,550.135603136407,334.369002709561,2.105E-06,0,1000000,1685,454534,1172,412510
2.9784,554.102927197487,317.622641972855,2.115E-06,0,1000000,1784,452849,1260,411338
2.9736,581.345219083569,367.861724182973,2.125E-06,0,1000000,1729,451065,1193,410078
2.9688,548.813161782714,331.577942586777,2.135E-06,0,1000000,1742,449336,1264,408885
2.964,555.689856821919,360.046755839177,2.145E-06,0,1000000,1775,447594,1276,407621
2.9592,541.143001931293,370.0945722812,2.155E-06,0,1000000,1718,445819,1283,406345
2.9544,554.896392009703,398.005173509044,2.165E-06,0,1000000,1761,444101,1231,405062
2.9496,597.743491869365,372.885632403985,2.175E-06,0,1000000,1746,442340,1348,403831
2.9448,615.464206008855,400.238021607271,2.185E-06,0,1000000,1777,440594,1383,402483
2.94,595.098609161979,433.730743080683,2.195E-06,0,1000000,1835,438817,1335,401100
2.9352,608.323022698912,380.142388723224,2.205E-06,0,1000000,1874,436982,1402,399765
2.9304,638.474685563119,398.005173509044,2.215E-06,0,1000000,1876,435108,1368,398363
2.9256,647.467286768233,394.655901361702,2.225E-06,0,1000000,1914,433232,1451,396995
2.9208,674.445090383576,413.076898172079,2.235E-06,0,1000000,1868,431318,1388,395544
2.916,700.629429186703,437.638227252581,2.245E-06,0,1000000,1934,429450,1411,394156
