#Table:,,15eV,15eV,15eV,15eV,15eV,,10eV,10eV,10eV,10eV,10eV
# E(MeV) ,,0mTorr,2mTorr Refl,2mTorr,9.5mTorr Refl,9.5mTorr,,0mTorr,2mTorr Refl,2mTorr,10mTorr Refl,10mTorr
2.155E-06,,10000,9684,8200,7780,4337,,10000,9523,7076,8380,2836
2.165E-06,,10000,9680,8198,7769,4332,,10000,9521,7073,8369,2833
2.175E-06,,10000,9677,8196,7759,4327,,10000,9518,7072,8359,2828
2.185E-06,,10000,9675,8196,7750,4325,,10000,9516,7070,8349,2827
2.195E-06,,10000,9674,8193,7737,4318,,10000,9514,7069,8337,2821
2.205E-06,,10000,9672,8192,7721,4314,,10000,9512,7068,8326,2817
2.215E-06,,10000,9670,8190,7709,4312,,10000,9511,7068,8313,2815
2.225E-06,,10000,9668,8190,7702,4309,,10000,9511,7068,8305,2810
2.235E-06,,10000,9664,8190,7693,4304,,10000,9509,7068,8292,2809
2.245E-06,,10000,9661,8189,7686,4300,,10000,9508,7068,8283,2807
2.255E-06,,10000,9659,8185,7676,4299,,10000,9505,7068,8273,2805
2.265E-06,,10000,9656,8182,7663,4295,,10000,9499,7066,8269,2805
2.275E-06,,10000,9653,8182,7647,4290,,10000,9495,7065,8258,2803
2.285E-06,,10000,9652,8181,7637,4285,,10000,9491,7062,8248,2801
2.295E-06,,10000,9649,8179,7624,4284,,10000,9490,7062,8235,2799
2.305E-06,,10000,9648,8179,7616,4277,,10000,9490,7061,8228,2797
2.315E-06,,10000,9645,8177,7611,4274,,10000,9488,7059,8222,2795
2.325E-06,,10000,9642,8176,7601,4271,,10000,9487,7059,8216,2791
2.335E-06,,10000,9638,8174,7590,4267,,10000,9486,7058,8206,2789
2.345E-06,,10000,9636,8171,7583,4263,,10000,9483,7053,8196,2787
2.355E-06,,10000,9633,8171,7574,4259,,10000,9480,7051,8184,2783
2.365E-06,,10000,9633,8170,7559,4253,,10000,9480,7050,8173,2780
2.375E-06,,10000,9631,8170,7547,4250,,10000,9478,7048,8165,2774
2.385E-06,,10000,9630,8167,7531,4248,,10000,9474,7046,8157,2770
2.395E-06,,10000,9628,8165,7508,4243,,10000,9472,7046,8151,2767
2.405E-06,,10000,9628,8164,7496,4240,,10000,9472,7046,8143,2763
2.415E-06,,10000,9628,8164,7484,4236,,10000,9467,7044,8132,2760
2.425E-06,,10000,9626,8164,7473,4228,,10000,9465,7044,8123,2758
2.435E-06,,10000,9622,8162,7453,4225,,10000,9460,7041,8112,2757
2.445E-06,,10000,9620,8160,7442,4220,,10000,9459,7040,8105,2750
2.455E-06,,10000,9618,8159,7432,4218,,10000,9457,7039,8099,2745
2.465E-06,,10000,9616,8157,7416,4215,,10000,9452,7037,8086,2742
2.475E-06,,10000,9616,8155,7405,4211,,10000,9448,7035,8080,2738
2.485E-06,,10000,9613,8155,7390,4207,,10000,9443,7031,8070,2735
2.495E-06,,10000,9612,8152,7381,4206,,10000,9440,7029,8062,2730
2.505E-06,,10000,9609,8151,7371,4202,,10000,9437,7029,8057,2725
2.515E-06,,10000,9607,8151,7356,4200,,10000,9437,7027,8050,2724
2.525E-06,,10000,9605,8149,7346,4196,,10000,9432,7025,8042,2724
2.535E-06,,10000,9603,8146,7334,4190,,10000,9431,7023,8036,2719
2.545E-06,,10000,9602,8145,7318,4187,,10000,9431,7021,8027,2717
2.555E-06,,10000,9601,8142,7308,4184,,10000,9429,7020,8018,2717
2.565E-06,,10000,9600,8139,7301,4179,,10000,9427,7019,8009,2715
2.575E-06,,10000,9598,8138,7291,4173,,10000,9426,7018,8003,2713
2.585E-06,,10000,9597,8136,7276,4168,,10000,9424,7016,7995,2711
2.595E-06,,10000,9596,8134,7267,4161,,10000,9423,7015,7990,2708
2.605E-06,,10000,9595,8134,7261,4155,,10000,9418,7013,7981,2704
2.615E-06,,10000,9592,8134,7253,4151,,10000,9416,7013,7971,2700
2.625E-06,,10000,9591,8134,7245,4149,,10000,9413,7012,7961,2699
2.635E-06,,10000,9588,8132,7234,4148,,10000,9411,7012,7951,2697
2.645E-06,,10000,9586,8130,7224,4143,,10000,9410,7011,7940,2694
2.655E-06,,10000,9583,8130,7216,4140,,10000,9407,7010,7928,2692
2.665E-06,,10000,9580,8130,7207,4135,,10000,9407,7009,7918,2692
2.675E-06,,10000,9579,8128,7191,4133,,10000,9406,7009,7911,2690
2.685E-06,,10000,9578,8127,7178,4128,,10000,9405,7008,7904,2685
2.695E-06,,10000,9573,8124,7173,4127,,10000,9402,7007,7892,2683
2.705E-06,,10000,9571,8119,7164,4125,,10000,9400,7006,7880,2677
2.715E-06,,10000,9568,8119,7158,4120,,10000,9396,7005,7871,2674
2.725E-06,,10000,9566,8118,7149,4116,,10000,9393,7005,7861,2673
2.735E-06,,10000,9565,8117,7138,4113,,10000,9390,7004,7851,2671
2.745E-06,,10000,9563,8116,7124,4110,,10000,9387,7001,7841,2669
2.755E-06,,10000,9559,8113,7108,4107,,10000,9385,6998,7831,2666
2.765E-06,,10000,9559,8112,7095,4104,,10000,9383,6997,7820,2665
2.775E-06,,10000,9555,8106,7088,4099,,10000,9378,6995,7814,2661
2.785E-06,,10000,9553,8103,7077,4096,,10000,9377,6995,7808,2661
2.795E-06,,10000,9552,8102,7068,4089,,10000,9376,6994,7799,2657
