 # E(eV),02_0.5_RA,02_0.5_RR,02_1.0_RA,02_1.0_RR,,E,07_0.5_RA,07_0.5_RR,07_1.0_RA,07_1.0_RR,,E,10_0.5_RA,10_0.5_RR,10_1.0_RA,10_1.0_RR,,E,20_0.5_RA,20_1.0_RA,20_0.5_RR,20_1.0_RR
1.455,310175,167448,60740,23901,,1.455,862273,708429,609126,371768,,1.455,925117,817184,754166,524240,,1.455,1028060,993293,917164,719496
1.465,307179,165740,59946,23578,,1.465,861816,707896,608506,371345,,1.465,924862,816864,753763,523895,,1.465,1027950,993050,917019,719275
1.475,304236,163977,59161,23242,,1.475,861355,707396,607890,370898,,1.475,924589,816557,753343,523553,,1.475,1027850,992823,916862,719064
1.485,301345,162222,58321,22926,,1.485,860881,706898,607243,370435,,1.485,924323,816224,752919,523178,,1.485,1027750,992591,916720,718834
1.495,298356,160528,57487,22576,,1.495,860447,706405,606607,369976,,1.495,924071,815884,752479,522840,,1.495,1027660,992375,916574,718614
1.505,295385,158816,56704,22240,,1.505,859975,705899,606023,369491,,1.505,923825,815554,752085,522486,,1.505,1027570,992149,916409,718409
1.515,292366,157150,55914,21938,,1.515,859496,705410,605370,369057,,1.515,923581,815235,751663,522098,,1.515,1027460,991944,916251,718193
1.525,289422,155322,55129,21590,,1.525,859045,704869,604744,368602,,1.525,923341,814886,751221,521733,,1.525,1027350,991723,916097,717977
1.535,286386,153530,54349,21253,,1.535,858580,704322,604122,368174,,1.535,923078,814544,750820,521371,,1.535,1027230,991515,915948,717774
1.545,283239,151821,53532,20952,,1.545,858112,703794,603526,367722,,1.545,922820,814223,750397,520983,,1.545,1027140,991293,915791,717558
1.555,280173,150107,52737,20634,,1.555,857646,703237,602909,367284,,1.555,922556,813898,749974,520623,,1.555,1027040,991075,915645,717363
1.565,277076,148369,51940,20327,,1.565,857176,702704,602232,366827,,1.565,922301,813591,749562,520275,,1.565,1026920,990839,915498,717117
1.575,274074,146551,51100,20036,,1.575,856692,702154,601602,366362,,1.575,922067,813244,749152,519933,,1.575,1026830,990642,915327,716904
1.585,270939,144781,50309,19728,,1.585,856216,701606,600955,365925,,1.585,921803,812918,748753,519588,,1.585,1026720,990422,915174,716679
1.595,267775,142951,49544,19389,,1.595,855749,701101,600330,365483,,1.595,921570,812595,748361,519220,,1.595,1026600,990201,915032,716484
1.605,264629,141185,48682,19092,,1.605,855278,700539,599680,365046,,1.605,921304,812269,747944,518873,,1.605,1026480,989958,914874,716270
1.615,261451,139403,47873,18747,,1.615,854803,699979,599049,364589,,1.615,921064,811947,747565,518535,,1.615,1026400,989776,914733,716045
1.625,258330,137601,47097,18441,,1.625,854316,699472,598472,364116,,1.625,920833,811591,747149,518175,,1.625,1026310,989562,914596,715833
1.635,255096,135772,46312,18147,,1.635,853917,698965,597820,363661,,1.635,920597,811278,746744,517806,,1.635,1026210,989330,914427,715627
1.645,251914,133941,45505,17806,,1.645,853452,698454,597170,363208,,1.645,920350,810957,746318,517462,,1.645,1026110,989098,914274,715421
1.655,248599,132136,44695,17513,,1.655,852985,697921,596525,362751,,1.655,920083,810613,745906,517083,,1.655,1026020,988858,914128,715191
1.665,245403,130313,43961,17201,,1.665,852521,697432,595830,362282,,1.665,919804,810265,745494,516685,,1.665,1025930,988649,913988,714949
1.675,242005,128435,43174,16852,,1.675,852117,696921,595186,361827,,1.675,919547,809923,745071,516337,,1.675,1025820,988431,913827,714735
1.685,238826,126505,42441,16531,,1.685,851678,696342,594545,361344,,1.685,919292,809566,744617,515961,,1.685,1025720,988203,913677,714529
1.695,235475,124715,41638,16195,,1.695,851227,695811,593921,360888,,1.695,919035,809224,744187,515629,,1.695,1025630,987960,913523,714311
1.705,232167,122912,40836,15894,,1.705,850789,695262,593264,360440,,1.705,918782,808897,743737,515239,,1.705,1025540,987752,913366,714093
1.715,228893,120971,40004,15585,,1.715,850324,694686,592650,359937,,1.715,918546,808562,743358,514881,,1.715,1025420,987523,913210,713869
1.725,225408,119028,39234,15266,,1.725,849843,694185,592009,359463,,1.725,918291,808247,742924,514533,,1.725,1025300,987308,913033,713644
1.735,222038,117129,38480,14932,,1.735,849370,693678,591367,359006,,1.735,918024,807898,742467,514171,,1.735,1025200,987082,912874,713444
1.745,218531,115179,37653,14624,,1.745,848887,693149,590729,358571,,1.745,917770,807584,742022,513772,,1.745,1025110,986856,912730,713191
1.755,215019,113186,36867,14308,,1.755,848404,692646,590095,358158,,1.755,917520,807283,741623,513444,,1.755,1025020,986648,912589,712960
1.765,211326,111187,36105,13998,,1.765,847963,692108,589477,357722,,1.765,917290,806944,741214,513075,,1.765,1024930,986420,912443,712727
1.775,207718,109179,35367,13703,,1.775,847506,691591,588836,357242,,1.775,917032,806626,740813,512716,,1.775,1024830,986197,912319,712515
1.785,203917,107127,34586,13390,,1.785,847050,691068,588226,356767,,1.785,916773,806296,740404,512335,,1.785,1024720,985966,912163,712264
1.795,200268,105118,33779,13104,,1.795,846543,690503,587599,356328,,1.795,916543,805985,739994,511962,,1.795,1024620,985731,912017,712048
1.805,196643,103127,32988,12793,,1.805,846080,689971,586992,355896,,1.805,916291,805652,739546,511594,,1.805,1024520,985499,911861,711822
1.815,192895,101089,32263,12491,,1.815,845606,689479,586321,355428,,1.815,916054,805325,739113,511239,,1.815,1024420,985272,911725,711566
1.825,189121,99032,31463,12177,,1.825,845153,688979,585692,354943,,1.825,915809,804984,738682,510880,,1.825,1024330,985034,911601,711332
1.835,185363,96943,30687,11874,,1.835,844699,688493,585064,354481,,1.835,915575,804671,738216,510525,,1.835,1024240,984830,911469,711135
1.845,181548,94825,29904,11557,,1.845,844185,687961,584363,354025,,1.845,915341,804349,737766,510172,,1.845,1024120,984570,911280,710924
1.855,177719,92690,29140,11257,,1.855,843686,687397,583707,353557,,1.855,915062,804041,737329,509830,,1.855,1024010,984371,911124,710689
1.865,173859,90655,28411,10971,,1.865,843198,686867,583061,353119,,1.865,914823,803721,736935,509476,,1.865,1023910,984162,910971,710463
1.875,169976,88650,27653,10706,,1.875,842755,686368,582439,352651,,1.875,914564,803369,736534,509110,,1.875,1023830,983945,910836,710226
1.885,166078,86480,26934,10413,,1.885,842260,685852,581776,352204,,1.885,914289,803019,736131,508781,,1.885,1023710,983736,910687,709998
1.895,162148,84318,26222,10105,,1.895,841749,685309,581127,351746,,1.895,914037,802698,735706,508405,,1.895,1023610,983508,910550,709748
