 # E(eV),fuente sin integrar,fuente, salida fuente distr 10 ,Salida fuente monoE
7.075,0,10000000,2937510,2951920
7.085,0,10000000,2932120,2946570
7.095,0,10000000,2926790,2941080
7.105,0,10000000,2921500,2935800
7.115,0,10000000,2915950,2930370
7.125,0,10000000,2910600,2924910
7.135,0,10000000,2905140,2919390
7.145,0,10000000,2899750,2913880
7.155,0,10000000,2894250,2908520
7.165,0,10000000,2888700,2903110
7.175,0,10000000,2883150,2897610
7.185,0,10000000,2877600,2892120
7.195,0,10000000,2872050,2886670
7.205,0,10000000,2866470,2881020
7.215,0,10000000,2861010,2875470
7.225,0,10000000,2855460,2869870
7.235,0,10000000,2849900,2864250
7.245,0,10000000,2844350,2858740
7.255,0,10000000,2838800,2853080
7.265,0,10000000,2832990,2847510
7.275,0,10000000,2827380,2841720
7.285,0,10000000,2821650,2836060
7.295,0,10000000,2815910,2830470
7.305,0,10000000,2810340,2824740
7.315,0,10000000,2804540,2818980
7.325,0,10000000,2798770,2813420
7.335,0,10000000,2793110,2807660
7.345,0,10000000,2787480,2801920
7.355,0,10000000,2781770,2796140
7.365,0,10000000,2775930,2790360
7.375,0,10000000,2770240,2784610
7.385,0,10000000,2764420,2778990
7.395,0,10000000,2758660,2773210
7.405,0,10000000,2752810,2767340
7.415,0,10000000,2746970,2761450
7.425,0,10000000,2741080,2755700
7.435,0,10000000,2735280,2749880
7.445,0,10000000,2729450,2744080
7.455,0,10000000,2723540,2738180
7.465,0,10000000,2717590,2732390
7.475,0,10000000,2711580,2726630
7.485,0,10000000,2705620,2720740
7.495,0,10000000,2699770,2714920
7.505,0,10000000,2693630,2709070
7.515,0,10000000,2687550,2703300
7.525,0,10000000,2681410,2697550
7.535,0,10000000,2675410,2691660
7.545,0,10000000,2669430,2685740
7.555,0,10000000,2663420,2679790
7.565,0,10000000,2657350,2673840
7.575,0,10000000,2651530,2667780
7.585,0,10000000,2645580,2661830
7.595,0,10000000,2639550,2655680
7.605,0,10000000,2633500,2649700
7.615,0,10000000,2627410,2643680
7.625,0,10000000,2621380,2637580
7.635,0,10000000,2615220,2631490
7.645,0,10000000,2609110,2625170
