   deg    ;   DCS_1eV
 5.30E+01 ; 1.580767E-02
 5.40E+01 ; 1.495532E-02
 5.50E+01 ; 1.416333E-02
 5.60E+01 ; 1.342644E-02
 5.70E+01 ; 1.273993E-02
 5.80E+01 ; 1.209956E-02
 5.90E+01 ; 1.150152E-02
 6.00E+01 ; 1.094235E-02
 6.10E+01 ; 1.041895E-02
 6.20E+01 ; 9.928499E-03
 6.30E+01 ; 9.468433E-03
 6.40E+01 ; 9.036434E-03
 6.50E+01 ; 8.630392E-03
 6.60E+01 ; 8.248383E-03
 6.70E+01 ; 7.888652E-03
 6.80E+01 ; 7.549595E-03
 6.90E+01 ; 7.229747E-03
 7.00E+01 ; 6.927763E-03
 7.10E+01 ; 6.642412E-03
 7.20E+01 ; 6.372562E-03
 7.30E+01 ; 6.117174E-03
 7.40E+01 ; 5.875289E-03
 7.50E+01 ; 5.646026E-03
 7.60E+01 ; 5.428570E-03
 7.70E+01 ; 5.222169E-03
 7.80E+01 ; 5.026130E-03
 7.90E+01 ; 4.839809E-03
 8.00E+01 ; 4.662609E-03
 8.10E+01 ; 4.493980E-03
 8.20E+01 ; 4.333407E-03
 8.30E+01 ; 4.180415E-03
 8.40E+01 ; 4.034560E-03
 8.50E+01 ; 3.895432E-03
 8.60E+01 ; 3.762645E-03
 8.70E+01 ; 3.635842E-03
 8.80E+01 ; 3.514689E-03
 8.90E+01 ; 3.398875E-03
 9.00E+01 ; 3.288108E-03
 9.10E+01 ; 3.182115E-03
 9.20E+01 ; 3.080642E-03
 9.30E+01 ; 2.983450E-03
 9.40E+01 ; 2.890315E-03
 9.50E+01 ; 2.801027E-03
 9.60E+01 ; 2.715390E-03
 9.70E+01 ; 2.633218E-03
 9.80E+01 ; 2.554338E-03
 9.90E+01 ; 2.478586E-03
 1.00E+02 ; 2.405808E-03
 1.01E+02 ; 2.335860E-03
 1.02E+02 ; 2.268604E-03
 1.03E+02 ; 2.203914E-03
 1.04E+02 ; 2.141666E-03
 1.05E+02 ; 2.081748E-03
 1.06E+02 ; 2.024050E-03
 1.07E+02 ; 1.968471E-03
 1.08E+02 ; 1.914914E-03
 1.09E+02 ; 1.863287E-03
 1.10E+02 ; 1.813505E-03
 1.11E+02 ; 1.765486E-03
 1.12E+02 ; 1.719152E-03
 1.13E+02 ; 1.674430E-03
 1.14E+02 ; 1.631250E-03
 1.15E+02 ; 1.589546E-03
 1.16E+02 ; 1.549256E-03
 1.17E+02 ; 1.510319E-03
 1.18E+02 ; 1.472681E-03
 1.19E+02 ; 1.436286E-03
