"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
3.825E-06,410026,48579,410999,48624
3.835E-06,409537,48505,410517,48549
3.845E-06,409091,48415,410061,48469
3.855E-06,408616,48348,409582,48410
3.865E-06,408146,48282,409056,48347
3.875E-06,407684,48208,408574,48267
3.885E-06,407217,48132,408100,48184
3.895E-06,406754,48049,407632,48111
3.905E-06,406302,47981,407160,48033
3.915E-06,405862,47895,406708,47958
3.925E-06,405394,47822,406266,47877
3.935E-06,404948,47749,405816,47814
3.945E-06,404458,47684,405357,47743
3.955E-06,404019,47608,404898,47678
3.965E-06,403636,47538,404501,47603
3.975E-06,403224,47472,404068,47542
3.985E-06,402774,47402,403610,47460
3.995E-06,402337,47336,403185,47394
4.005E-06,401915,47275,402794,47334
4.015E-06,401507,47189,402368,47251
4.025E-06,401128,47112,401958,47190
4.035E-06,400726,47039,401543,47131
4.045E-06,400316,46981,401142,47068
4.055E-06,399898,46909,400739,47005
4.065E-06,399485,46844,400286,46948
4.075E-06,399089,46757,399888,46867
4.085E-06,398722,46687,399491,46794
4.095E-06,398306,46626,399091,46726
4.105E-06,397945,46562,398702,46657
4.115E-06,397541,46497,398300,46591
4.125E-06,397178,46438,397888,46530
4.135E-06,396794,46380,397471,46474
4.145E-06,396362,46308,397094,46413
4.155E-06,395975,46254,396692,46354
4.165E-06,395575,46199,396303,46297
4.175E-06,395193,46143,395903,46232
4.185E-06,394826,46085,395533,46173
4.195E-06,394418,46026,395125,46113
4.205E-06,393979,45959,394745,46054
4.215E-06,393597,45898,394347,45994
4.225E-06,393288,45825,393977,45924
4.235E-06,392916,45768,393607,45862
4.245E-06,392524,45710,393255,45803
4.255E-06,392145,45646,392860,45747
4.265E-06,391783,45596,392471,45687
4.275E-06,391416,45528,392097,45621
4.285E-06,391056,45463,391699,45560
4.295E-06,390705,45408,391347,45507
4.305E-06,390342,45360,390973,45452
4.315E-06,389981,45311,390601,45393
4.325E-06,389599,45246,390217,45325
4.335E-06,389243,45193,389873,45262
4.345E-06,388848,45138,389498,45210
4.355E-06,388482,45084,389122,45153
4.365E-06,388128,45030,388744,45103
4.375E-06,387749,44975,388328,45035
4.385E-06,387404,44931,387956,44985
4.395E-06,387016,44878,387615,44941
4.405E-06,386665,44829,387242,44899
4.415E-06,386295,44763,386870,44831
4.425E-06,385952,44705,386498,44778
4.435E-06,385569,44643,386152,44711
4.445E-06,385196,44583,385792,44657
4.455E-06,384846,44520,385437,44604
4.465E-06,384520,44461,385098,44540
4.475E-06,384174,44410,384754,44477
4.485E-06,383821,44351,384398,44421
4.495E-06,383460,44294,384050,44361
4.505E-06,383115,44229,383687,44298
4.515E-06,382791,44164,383358,44232
4.525E-06,382450,44103,383011,44175
4.535E-06,382101,44051,382684,44113
4.545E-06,381730,44003,382316,44049
4.555E-06,381389,43941,381959,43988
4.565E-06,381040,43884,381609,43928
4.575E-06,380682,43818,381264,43868
4.585E-06,380343,43765,380915,43821
4.595E-06,380006,43717,380578,43770
4.605E-06,379679,43653,380258,43720
4.615E-06,379346,43595,379937,43661
4.625E-06,379009,43545,379599,43607
4.635E-06,378647,43495,379230,43556
4.645E-06,378329,43437,378943,43500
4.655E-06,378004,43384,378607,43440
4.665E-06,377687,43334,378278,43393
4.675E-06,377374,43279,377954,43341
4.685E-06,377032,43231,377613,43292
4.695E-06,376698,43181,377299,43233
4.705E-06,376384,43130,376978,43186
4.715E-06,376057,43093,376628,43140
4.725E-06,375696,43044,376289,43091
4.735E-06,375343,42979,375948,43040
4.745E-06,375050,42914,375643,42983
4.755E-06,374709,42856,375314,42916
4.765E-06,374362,42801,374974,42858
4.775E-06,374023,42735,374661,42803
4.785E-06,373686,42673,374348,42739
4.795E-06,373378,42621,374023,42681
4.805E-06,373045,42570,373702,42626
4.815E-06,372694,42527,373373,42587
4.825E-06,372373,42478,373057,42544
4.835E-06,372042,42419,372751,42490
4.845E-06,371719,42364,372458,42445
4.855E-06,371431,42301,372160,42382
4.865E-06,371057,42243,371820,42336
4.875E-06,370749,42169,371525,42272
4.885E-06,370440,42106,371179,42220
4.895E-06,370105,42051,370857,42174
4.905E-06,369805,41999,370556,42129
4.915E-06,369495,41951,370242,42086
4.925E-06,369183,41900,369936,42035
4.935E-06,368856,41833,369615,41981
4.945E-06,368525,41773,369283,41918
4.955E-06,368196,41714,368975,41852
4.965E-06,367899,41664,368685,41795
4.975E-06,367581,41614,368374,41740
4.985E-06,367264,41559,368052,41677
4.995E-06,366988,41503,367749,41620
5.005E-06,366683,41445,367442,41563
5.015E-06,366377,41387,367115,41512
5.025E-06,366107,41341,366838,41453
