#P=2mTorr,,P=5mTorr,
#Energy(eV),Intensity(a.u.),Energy(eV),Intensity(a.u.)
14.0516,897.6825,14.1616,285.51
14.0468,864.0675,14.1568,302.56
14.042,875.205,14.152,309.07
14.0372,910.845,14.1472,296.36
14.0324,892.62,14.1424,304.11
14.0276,889.38,14.1376,319.92
14.0228,893.835,14.1328,321.78
14.018,878.6475,14.128,321.16
14.0132,921.78,14.1232,307.21
14.0084,908.82,14.1184,330.46
14.0036,901.3275,14.1136,337.28
13.9988,906.39,14.1088,307.83
13.994,914.6925,14.104,309.38
13.9892,894.645,14.0992,311.86
13.9844,912.465,14.0944,310
13.9796,881.28,14.0896,318.68
13.9748,874.395,14.0848,334.18
13.97,918.7425,14.08,321.16
13.9652,944.055,14.0752,337.28
13.9604,954.3825,14.0704,332.32
13.9556,936.5625,14.0656,344.41
13.9508,934.9425,14.0608,326.43
13.946,948.105,14.056,321.16
13.9412,906.5925,14.0512,342.86
13.9364,941.8275,14.0464,348.44
13.9316,948.3075,14.0416,330.15
13.9268,919.1475,14.0368,317.13
13.922,929.07,14.032,318.06
13.9172,920.16,14.0272,329.53
13.9124,930.69,14.0224,327.98
13.9076,924.21,14.0176,348.13
13.9028,912.6675,14.0128,296.98
13.898,956.4075,14.008,322.4
13.8932,922.59,14.0032,336.04
13.8884,939.6,13.9984,318.37
13.8836,927.855,13.9936,355.57
13.8788,939.195,13.9888,323.33
13.874,950.3325,13.984,339.14
13.8692,953.1675,13.9792,306.28
13.8644,964.5075,13.9744,315.58
13.8596,924.21,13.9696,348.75
13.8548,963.09,13.9648,343.48
13.85,954.585,13.96,333.56
13.8452,939.195,13.9552,340.38
13.8404,936.5625,13.9504,336.97
13.8356,964.71,13.9456,341.31
13.8308,979.0875,13.9408,344.41
13.826,967.14,13.936,339.76
13.8212,947.4975,13.9312,344.72
13.8164,923.4,13.9264,365.49
13.8116,952.155,13.9216,352.16
13.8068,964.1025,13.9168,344.41
13.802,969.165,13.912,312.17
13.7972,992.0475,13.9072,329.84
13.7924,952.56,13.9024,341.31
13.7876,972,13.8976,345.65
13.7828,983.5425,13.8928,344.1
13.778,989.82,13.888,337.28
13.7732,960.8625,13.8832,335.42
13.7684,999.945,13.8784,335.73
13.7636,956.205,13.8736,339.45
13.7588,981.1125,13.8688,354.33
13.754,961.6725,13.864,353.4
13.7492,1003.185,13.8592,356.81
13.7444,983.745,13.8544,354.95
13.7396,995.6925,13.8496,375.41
13.7348,951.1425,13.8448,335.42
13.73,1006.02,13.84,358.05
13.7252,998.5275,13.8352,353.4
13.7204,990.63,13.8304,386.88
13.7156,984.96,13.8256,384.71
13.7108,1008.45,13.8208,363.94
13.706,999.7425,13.816,372.31
13.7012,1024.8525,13.8112,389.36
13.6964,969.165,13.8064,346.58
13.6916,996.3,13.8016,374.17
13.6868,995.085,13.7968,359.6
13.682,995.2875,13.792,358.67
13.6772,983.5425,13.7872,356.81
13.6724,1010.475,13.7824,340.69
13.6676,971.595,13.7776,349.37
13.6628,988.8075,13.7728,364.25
13.658,1018.575,13.768,379.13
13.6532,981.315,13.7632,383.78
13.6484,979.695,13.7584,347.2
13.6436,1040.85,13.7536,374.48
13.6388,1040.445,13.7488,388.43
13.634,975.24,13.744,350.61
13.6292,1019.5875,13.7392,355.88
13.6244,1017.36,13.7344,363.63
13.6196,976.86,13.7296,366.11
13.6148,1031.535,13.7248,369.83
13.61,1021.005,13.72,376.03
13.6052,1035.3825,13.7152,396.8
13.6004,1012.2975,13.7104,378.2
13.5956,1018.575,13.7056,366.73
13.5908,1008.45,13.7008,368.59
13.586,1017.1575,13.696,360.84
13.5812,988.2,13.6912,370.45
13.5764,990.225,13.6864,366.73
13.5716,985.1625,13.6816,385.64
13.5668,993.87,13.6768,380.68
13.562,1036.8,13.672,393.39
13.5572,1007.235,13.6672,345.34
13.5524,999.3375,13.6624,357.74
13.5476,1060.29,13.6576,364.56
13.5428,967.7475,13.6528,379.75
13.538,1009.665,13.648,385.95
13.5332,1043.8875,13.6432,371.69
13.5284,1025.055,13.6384,373.86
13.5236,1043.685,13.6336,399.28
13.5188,972.2025,13.6288,367.97
13.514,1046.925,13.624,380.06
13.5092,1053,13.6192,385.33
13.5044,1024.65,13.6144,374.17
13.4996,998.73,13.6096,381.3
13.4948,1028.4975,13.6048,387.19
13.49,1002.375,13.6,397.42
13.4852,1025.865,13.5952,388.12
13.4804,1044.495,13.5904,373.86
13.4756,1018.3725,13.5856,424.7
13.4708,1049.76,13.5808,394.01
13.466,1037.0025,13.576,419.43
13.4612,1063.935,13.5712,391.22
13.4564,1020.8025,13.5664,399.9
13.4516,1056.24,13.5616,414.47
13.4468,1034.1675,13.5568,410.13
13.442,1013.715,13.552,390.29
13.4372,1042.2675,13.5472,415.09
13.4324,1065.96,13.5424,405.79
13.4276,1024.8525,13.5376,402.38
13.4228,1017.36,13.5328,421.6
13.418,1069.8075,13.528,390.29
13.4132,1046.52,13.5232,397.42
13.4084,1054.4175,13.5184,380.99
13.4036,1058.265,13.5136,422.53
13.3988,1049.9625,13.5088,426.25
13.394,1038.825,13.504,413.23
13.3892,1057.05,13.4992,397.11
13.3844,1078.11,13.4944,390.6
13.3796,1070.2125,13.4896,407.03
13.3748,1035.7875,13.4848,372
13.37,1053.2025,13.48,406.41
13.3652,1058.0625,13.4752,420.98
13.3604,1056.24,13.4704,437.72
13.3556,1066.9725,13.4656,412.92
13.3508,1078.515,13.4608,429.66
13.346,1055.6325,13.456,434.62
13.3412,1026.0675,13.4512,420.67
13.3364,1051.9875,13.4464,424.7
13.3316,1069.8075,13.4416,418.81
13.3268,1036.8,13.4368,435.55
13.322,1054.8225,13.432,405.17
13.3172,1047.9375,13.4272,409.51
13.3124,1086.8175,13.4224,424.7
13.3076,1080.54,13.4176,388.12
13.3028,1070.01,13.4128,437.1
13.298,1077.3,13.408,423.46
13.2932,1085.4,13.4032,394.94
13.2884,1044.495,13.3984,405.17
13.2836,1060.0875,13.3936,425.94
13.2788,1032.1425,13.3888,416.33
13.274,1071.4275,13.384,386.57
13.2692,1045.9125,13.3792,413.54
13.2644,1088.4375,13.3744,424.39
13.2596,1050.975,13.3696,420.67
13.2548,1092.69,13.3648,417.57
13.25,1105.4475,13.36,446.09
13.2452,1066.365,13.3552,439.89
13.2404,1072.6425,13.3504,437.72
13.2356,1047.5325,13.3456,428.42
13.2308,1074.6675,13.3408,425.63
13.226,1086.8175,13.336,396.49
13.2212,1071.0225,13.3312,432.14
13.2164,1057.2525,13.3264,419.74
13.2116,1094.31,13.3216,421.6
13.2068,1071.8325,13.3168,420.98
13.202,1065.15,13.312,437.72
13.1972,1092.69,13.3072,432.76
13.1924,1096.74,13.3024,432.45
13.1876,1132.9875,13.2976,418.81
13.1828,1116.99,13.2928,416.95
13.178,1099.3725,13.288,442.37
13.1732,1092.4875,13.2832,403
13.1684,1095.7275,13.2784,459.11
13.1636,1070.415,13.2736,436.17
13.1588,1107.8775,13.2688,415.09
13.154,1102.41,13.264,446.09
13.1492,1068.9975,13.2592,431.52
13.1444,1104.84,13.2544,403.31
13.1396,1081.1475,13.2496,437.1
13.1348,1076.085,13.2448,443.3
13.13,1085.4,13.24,443.61
13.1252,1073.25,13.2352,430.28
13.1204,1074.6675,13.2304,423.46
13.1156,1078.92,13.2256,443.3
13.1108,1109.4975,13.2208,421.91
13.106,1111.32,13.216,419.43
13.1012,1134.405,13.2112,419.74
13.0964,1102.41,13.2064,429.66
13.0916,1079.5275,13.2016,428.42
13.0868,1110.3075,13.1968,457.56
13.082,1148.985,13.192,443.92
13.0772,1107.8775,13.1872,451.05
13.0724,1116.7875,13.1824,454.77
13.0676,1102.2075,13.1776,416.95
13.0628,1123.875,13.1728,445.78
13.058,1128.5325,13.168,455.39
13.0532,1141.695,13.1632,472.44
13.0484,1084.3875,13.1584,436.17
13.0436,1042.2675,13.1536,445.16
13.0388,1087.6275,13.1488,470.27
13.034,1126.71,13.144,458.18
13.0292,1122.66,13.1392,446.4
13.0244,1110.7125,13.1344,450.12
13.0196,1108.08,13.1296,422.53
13.0148,1146.96,13.1248,446.71
13.01,1105.65,13.12,456.94
13.0052,1126.9125,13.1152,446.71
13.0004,1109.0925,13.1104,433.69
12.9956,1107.8775,13.1056,444.23
12.9908,1119.2175,13.1008,393.39
12.986,1096.5375,13.096,420.67
12.9812,1083.9825,13.0912,406.41
12.9764,1084.7925,13.0864,445.47
12.9716,1100.79,13.0816,432.14
12.9668,1084.7925,13.0768,444.54
12.962,1091.475,13.072,428.73
12.9572,1099.3725,13.0672,448.57
12.9524,1151.01,13.0624,462.83
12.9476,1121.85,13.0576,441.75
12.9428,1121.85,13.0528,481.12
12.938,1117.1925,13.048,469.65
12.9332,1130.5575,13.0432,490.42
12.9284,1108.2825,13.0384,443.92
12.9236,1114.7625,13.0336,416.64
12.9188,1124.0775,13.0288,455.39
12.914,1137.24,13.024,434.31
12.9092,1104.03,13.0192,465
12.9044,1091.6775,13.0144,482.05
12.8996,1080.54,13.0096,486.39
12.8948,1112.535,13.0048,442.37
12.89,1099.575,13,448.88
12.8852,1143.72,12.9952,469.65
12.8804,1127.52,12.9904,445.47
12.8756,1132.785,12.9856,478.33
12.8708,1145.9475,12.9808,443.61
12.866,1137.0375,12.976,461.59
12.8612,1125.495,12.9712,433.07
12.8564,1169.235,12.9664,470.89
12.8516,1112.535,12.9616,455.7
12.8468,1158.9075,12.9568,452.29
12.842,1134.2025,12.952,430.28
12.8372,1176.7275,12.9472,461.28
12.8324,1144.3275,12.9424,461.9
12.8276,1128.5325,12.9376,486.08
12.8228,1129.3425,12.9328,458.8
12.818,1146.3525,12.928,459.73
12.8132,1116.18,12.9232,447.33
12.8084,1113.9525,12.9184,486.39
12.8036,1112.94,12.9136,458.49
12.7988,1166.6025,12.9088,445.47
12.794,1142.7075,12.904,458.18
12.7892,1130.76,12.8992,478.33
12.7844,1114.56,12.8944,446.4
12.7796,1131.975,12.8896,451.67
12.7748,1151.82,12.8848,478.64
