181 33 KTC
     0.1      0.15      0.2       0.3	    0.4	      0.5	0.7	  1         1.5       2         3         4         5         7	        10	  15        20	      30        40        50        70	      100       150       200       300       400       500	  700       1000      2000      5000      10000		   10e6		   
 62 16.9      7.62      7.62      25.1      43.6      56.4      62.8      57.8      46        36.6      23.6      15.5      6.17      4.02      2.19      0.178     0.717     1.18      0.992     0.702     0.326     0.212     0.32      0.358     0.21      0.0675    0.0117    0.0138    0.0401    0.0244    0.0134    0.00643   	   0.00643   	   
 63 16.9      7.61      7.09      23.6      41.2      53.5      60        55.4      44.2      35.2      22.7      14.9      5.82      4         2.27      0.199     0.683     1.09      0.902     0.63      0.292     0.208     0.315     0.338     0.184     0.0518    0.0057    0.0159    0.0416    0.0231    0.0131    0.00613   	   0.00613   	   
 64 16.9      7.6       6.59      22.1      38.9      50.8      57.3      53.1      42.5      33.8      21.8      14.3      5.55      4         2.37      0.223     0.65      0.997     0.814     0.562     0.261     0.205     0.308     0.317     0.158     0.0382    0.00183   0.0191    0.0432    0.022     0.0129    0.00589   	   0.00589   	   
 65 16.9      7.6       6.12      20.7      36.7      48.1      54.6      50.8      40.8      32.4      20.9      13.7      5.34      4         2.46      0.251     0.619     0.91      0.73      0.497     0.233     0.202     0.3       0.295     0.135     0.0271    0.000138  0.0232    0.0449    0.0207    0.0126    0.00557   	   0.00557   	   
 66 16.9      7.58      5.69      19.3      34.6      45.5      51.9      48.6      39.1      31.1      20        13.1      5.2       4.03      2.55      0.282     0.589     0.827     0.65      0.436     0.209     0.201     0.291     0.272     0.113     0.0184    0.000604  0.0282    0.0467    0.0196    0.0125    0.00541   	   0.00541   	   
 67 16.9      7.57      5.3       18.1      32.5      43        49.3      46.4      37.4      29.8      19.1      12.5      5.13      4.06      2.65      0.316     0.562     0.747     0.575     0.38      0.187     0.201     0.281     0.249     0.0926    0.0124    0.00315   0.0339    0.0483    0.0185    0.0121    0.00508   	   0.00508   	   
 68 16.8      7.56      4.95      16.8      30.5      40.6      46.8      44.2      35.7      28.5      18.3      11.9      5.11      4.1       2.75      0.354     0.537     0.671     0.504     0.329     0.169     0.201     0.27      0.226     0.0748    0.00891   0.00776   0.0404    0.0499    0.0176    0.012     0.00496   	   0.00496   	   
 69 16.8      7.55      4.63      15.7      28.6      38.2      44.4      42.1      34.1      27.2      17.5      11.4      5.15      4.16      2.84      0.394     0.515     0.6       0.438     0.282     0.154     0.203     0.259     0.203     0.0595    0.00803   0.0142    0.0471    0.0512    0.0165    0.0117    0.00468   	   0.00468   	   
 70 16.8      7.54      4.36      14.6      26.8      36        42        40        32.5      26        16.7      10.8      5.24      4.22      2.93      0.438     0.496     0.534     0.378     0.241     0.143     0.205     0.247     0.181     0.0467    0.00966   0.0223    0.0542    0.0524    0.0157    0.0116    0.00453   	   0.00453   	   
 71 16.8      7.53      4.12      13.6      25.1      33.8      39.7      38        31        24.8      15.9      10.3      5.37      4.29      3.02      0.484     0.48      0.473     0.324     0.204     0.135     0.207     0.235     0.16      0.0365    0.0137    0.032     0.0614    0.0532    0.0148    0.0114    0.00434   	   0.00434   	   
 72 16.7      7.51      3.92      12.6      23.5      31.7      37.4      36.1      29.5      23.6      15.1      9.77      5.55      4.36      3.1       0.533     0.468     0.417     0.275     0.173     0.129     0.21      0.223     0.14      0.0289    0.0199    0.0428    0.0685    0.0538    0.014     0.0111    0.00414   	   0.00414   	   
