         x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,        EdepX e+ ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,      Attachment ,    Annihilation ,     Positronium ,
        0.004845 ,         2119.58 ,               0 ,          991.55 ,         1128.03 ,               0 ,           10536 ,           18521 ,             350 ,               8 ,              44 ,              56 ,               3 ,               0 ,               2 ,
        0.004855 ,         2074.23 ,               0 ,         1329.14 ,          745.09 ,               0 ,           10429 ,           20060 ,             333 ,               6 ,              37 ,              71 ,               5 ,               0 ,               0 ,
        0.004865 ,         2443.97 ,               0 ,         1473.58 ,         970.384 ,               0 ,           13385 ,           24623 ,             439 ,               8 ,              38 ,              88 ,               5 ,               0 ,               2 ,
        0.004875 ,         1650.39 ,               0 ,         906.507 ,         743.883 ,               0 ,           10686 ,           19511 ,             369 ,               6 ,              22 ,              59 ,               3 ,               0 ,               1 ,
        0.004885 ,         1554.93 ,               0 ,         1087.97 ,         466.959 ,               0 ,            8847 ,           16049 ,             310 ,               6 ,              24 ,              57 ,               3 ,               0 ,               1 ,
        0.004895 ,         1149.65 ,               0 ,         782.111 ,         367.541 ,               0 ,            6300 ,           11115 ,             191 ,               5 ,              23 ,              31 ,               2 ,               0 ,               0 ,
        0.004905 ,         645.781 ,               0 ,         326.973 ,         318.808 ,               0 ,            4136 ,            7807 ,             116 ,               1 ,              15 ,              18 ,               3 ,               0 ,               0 ,
        0.004915 ,         782.239 ,               0 ,         460.796 ,         321.443 ,               0 ,            4549 ,            8032 ,             148 ,               6 ,              15 ,              29 ,               1 ,               0 ,               1 ,
        0.004925 ,         823.928 ,               0 ,         432.602 ,         391.327 ,               0 ,            4130 ,            7671 ,             139 ,               6 ,              15 ,              25 ,               2 ,               0 ,               1 ,
        0.004935 ,         1150.56 ,               0 ,         660.156 ,         490.399 ,               0 ,            5090 ,            8759 ,             160 ,               5 ,              20 ,              39 ,               1 ,               0 ,               1 ,
        0.004945 ,         241.711 ,               0 ,         155.389 ,         86.3213 ,               0 ,            2892 ,            5298 ,              96 ,               1 ,               3 ,               9 ,               0 ,               0 ,               0 ,
        0.004955 ,         385.722 ,               0 ,         209.012 ,         176.711 ,               0 ,            2031 ,            3559 ,              64 ,               1 ,               8 ,              12 ,               0 ,               0 ,               0 ,
        0.004965 ,         298.158 ,               0 ,         119.746 ,         178.412 ,               0 ,            1235 ,            2489 ,              49 ,               0 ,               9 ,               2 ,               0 ,               0 ,               0 ,
