#Energy(eV),Intensity(a.u.)0mTorr,Intensity(a.u.)2mTorr,Intensity(a.u.)9.5mTorr, #E(MeV) ,0mTorr,2mTorr,9.5mTorr
15.0616,1220.75,682.166666666667,79.8,3.815E-06,100000,88062,32475
15.0568,1246.125,666.166666666667,75.6,3.825E-06,100000,88048,32440
15.052,1261.375,661.666666666667,82.8,3.835E-06,100000,88032,32409
15.0472,1293.25,678.166666666667,74.4,3.845E-06,100000,88012,32381
15.0424,1317.875,685.666666666667,86.8,3.855E-06,100000,87999,32356
15.0376,1301.875,707.666666666667,76.8,3.865E-06,100000,87979,32316
15.0328,1351.375,680.666666666667,88.2,3.875E-06,100000,87960,32277
15.028,1373,708.333333333333,81,3.885E-06,100000,87943,32252
15.0232,1408.375,712,77.2,3.895E-06,100000,87920,32229
15.0184,1400,733.833333333333,89.8,3.905E-06,100000,87905,32197
15.0136,1384,741.333333333333,82,3.915E-06,100000,87883,32171
15.0088,1415.125,770,85,3.925E-06,100000,87867,32141
15.004,1432.75,745.666666666667,79.6,3.935E-06,100000,87847,32118
14.9992,1467.375,776.166666666667,88.8,3.945E-06,100000,87828,32092
