
#A            B        C         D        E           F               G               H               I
#E(keV)     el0   el20     el40      el60    el100       el20s           el40s           el60s          el100s
	       
 274.5   219256  11640     2828       683      188       17660           14390           11689            6692
 275.5   222225  11310     2634       699      162       18669           14586           11575            6312
 276.5   219662  12317     2892       615      182       18989           14399           11020            6001
 277.5   218009  11390     2618       700      170       17759           14513           11518            6470
 278.5   215169  11580     2520       789      203       18156           14344           11714            5985
 279.5   214841  12200     2638       677      122       17843           15018           11129            6062
 280.5   214351  11581     2379       576      209       18586           14692           11117            6630
 281.5   216995  11780     2707       482      156       17681           14441           10798            6336
 282.5   217363  11700     2659       673      119       17234           14089           11276            6613
 283.5   211880  11940     2321       644      174       17053           14658           11553            5927
 284.5   212098  11710     2465       611      265       17037           14670           11289            6174
 285.5   213344  12040     2770       817      149       17388           14429           11406            5900
 286.5   214661  11780     2631       658      186       17775           14086           10184            6372
 287.5   209503  12300     2763       591      123       17227           13903           10770            6234
 288.5   209231  11480     2498       642      216       17421           14188           11084            5852
 289.5   207937  11840     2917       561      248       17770           14132           11193            6032
 290.5   215172  12220     2650       632      167       16918           13731           11480            5862
 291.5   210997  11530     2496       721      174       17373           13689           10709            5612
 292.5   211852  11830     2546       787      195       16599           14524           10552            6420
 293.5   211044  11990     2846       510      151       16519           14510           11059            6240
 294.5   210197  12620     2702       557      139       16914           13311           10131            5898
 295.5   204404  11630     2648       629      148       17761           13668           10922            6123
 296.5   203585  11750     2507       654      173       16541           13384           10874            5370
 297.5   203421  11830     2626       548      157       17006           13206           10475            5765
 298.5   203711  12180     2660       565      154       17019           13746           10245            5934
 299.5   205049  12630     2589       532      122       17467           13440           10815            5630
 300.5   205871  12120     2660       529      177       16793           13755           10231            5170
 301.5   202640  11567     2971       526      224       17445           13498           10435            4997
 302.5   203627  11370     2385       546      110       17609           12950           10649            5523
 303.5   205662  11901     2681       438       96       16640           12578           10544            5320
 304.5   197349  11407     2684       489      173       17099           13166            9793            5104
 305.5   204924  11470     2531       472      110       16924           12414            9983            5510
 306.5   199324  12723     2670       597      234       16457           13533           10310            5610
 307.5   201271  12191     2367       583       64       15822           13207           10136            5290
 308.5   196808  11770     2572       579      106       16595           13099           10260            4866
 309.5   200845  12250     2740       500      127       16543           12345           10133            5945
 310.5   199786  11920     2670       584      160       16086           12191            9523            5667
 311.5   195786  12050     2670       636      149       16460           12705            9877            5332
 312.5   201619  11650     2487       527       92       17034           12951           10200            5180
 313.5   197976  11420     2699       533       99       15682           12621           10031            5040
 314.5   194914  12760     2649       450       99       15667           13158            9822            5205
 315.5   196411  12030     2488       564      119       15483           12887           10012            4750
 316.5   195700  12250     2713       551      128       15450           12328            9453            4772
 317.5   195974  12550     2544       621      147       15125           12540            9511            4782
 318.5   194218  12660     2838       585      151       15946           12182            9729            4661
 319.5   191187  11690     2648       670      139       15812           12701            9437            4890
 320.5   194347  11340     2649       522      136       15964           12474            9149            4452
 321.5   188481  12130     2443       634       94       15718           11914           10230            4902
 322.5   188511  11931     2486       560      127       15954           12330            9158            4661
 323.5   194179  12820     2659       694       88       15432           12152            9715            4571
 324.5   188739  11900     2483       633      127       15398           11531            9678            4722
 325.5   191146  11960     2589       558      133       14976           12526            8970            4903
 326.5   192064  12183     2621       542       99       15606           11680            9167            4931
 327.5   186164  12050     2520       569      110       15317           12216            9675            4493
 328.5   185989  12180     2639       589      103       14406           11591            9143            4480
 329.5   189696  12390     2530       591       40       15170           11428            9132            4412
 330.5   188435  12023     2565       442       60       14702           12006            9301            4392
 331.5   189172  11840     2673       497      153       14630           12221            8852            4535
 332.5   184585  11570     2424       446      111       14547           11990            8775            4031
 333.5   184546  11840     2627       458       66       15354           11320            8983            4462
 334.5   182539  11860     2511       560      121       15146           11777            9135            4653
 335.5   185894  12050     2512       571       64       14245           11849            8680            4560
 336.5   186702  11990     2340       542      143       14844           12044            8823            3950
 337.5   183168  12570     2414       453      167       14335           11136            8873            4438
 338.5   182380  11860     2462       430       64       14204           11244            8982            4390
 339.5   178851  12140     2323       482      106       14521           11730            8362            4171
 340.5   180042  12110     2514       513       81       15140           10806            7997            4624
 341.5   174308  11640     2456       438      180       14385           11335            8317            4640
 342.5   181145  11947     2572       567       16       13768           11574            8633            3931
 343.5   178428  12000     2501       454       61       14302           11529            8465            3740
 344.5   183037  12010     2406       505      110       14850           11144            8210            3912
 345.5   177135  11390     2617       432       98       14484           10592            8618            4020
 346.5   174045  12030     2325       431       73       13833           10638            8571            4290
 347.5   176820  11620     2309       520      110       13767           11710            8154            4040
 348.5   175372  12050     2587       483       81       14066           10798            8342            4080
 349.5   180383  11830     2509       384       75       13771           11139            8145            3843
 350.5   174108  11678     2447       425       83       14069           11223            8564            3690
 351.5   174375  12080     2538       579      104       14543           10628            7998            3874
 352.5   174962  11601     2343       426       52       12923           11635            7575            3791
 353.5   175531  10800     2369       465      135       13944           11177            8058            3824
 354.5   170135  11402     2793       569       59       13944           10591            7845            3760
 355.5   170601  11191     2418       530       79       14147           10399            8343            3414
 356.5   166214  11570     2280       390       70       13410           10903            7653            3520
 357.5   169042  11120     2211       496       71       14080           10840            8352            3582
 358.5   169571  12060     2736       408      102       13795           10327            7869            3640
 359.5   163603  11350     2508       425       67       13021           10396            8241            3310
 360.5   165160  11870     2197       438       62       13153           10105            7361            3622
 361.5   167887  11170     2565       420       81       13035           10622            7872            3380
 362.5   167674  11400     2293       462      107       12893           10390            7583            3414
 363.5   169767  11203     2508       370       54       13138            9791            7099            3230
 364.5   170463  11430     2527       409       77       13514           10621            7463            3400
 365.5   163153  11640     2354       383       48       12959           10300            7280            3331
 366.5   158751  11280     2379       453      103       12309            9937            6969            3462
 367.5   162639  10992     2428       467      116       13048           10014            7645            3130
 368.5   161804  11633     2054       520       62       13170           10156            7085            3382
 369.5   161521  11360     2206       297       48       12466            9454            6860            3230
 370.5   162838  11350     2424       478       57       13018           10349            7122            3151
 371.5   156284  11110     2141       338       68       12440            9860            6896            3036
 372.5   163736  10800     2189       361       48       12565            9828            6769            2960
 373.5   159312  12010     2074       477       90       12348           10154            7136            3230
 374.5   157893  10950     2301       318       77       12147            9590            6862            2790
 375.5   157335  11300     2288       487       59       12528            9874            7239            2960
 376.5   158917  11230     2435       431       87       12399            8759            7089            2740
 377.5   160254  11110     2215       393       51       12137            9138            6571            3055
 378.5   153047  10990     2213       479       60       12265            9528            6976            2506
 379.5   156501  11241     2371       422       50       12588            9554            6953            2840
 380.5   154981  11150     2424       431       50       12141            9343            6857            2810
 381.5   149513  10937     2247       430       53       11866            8548            7166            3020
 382.5   146608  11590     2296       388      110       12158            8593            6356            2700
 383.5   151114  10540     2149       378       80       12117            9434            6384            2782
 384.5   151651  10640     2262       373       66       12275            8768            6510            2608
 385.5   153831  11421     2227       368       59       11546            8777            6382            2610
 386.5   151340  10650     2021       422       34       12157            8513            6435            2902
 387.5   148649  11050     2192       385       82       12050            8730            6121            2920
 388.5   151546  10190     2103       304       90       11581            8906            6013            3044
 389.5   148767  10634     2205       345       22       11654            8237            6356            2532
 390.5   149384  10650     2123       276       67       11691            8357            6100            2160
 391.5   147304  10710     2039       375       43       11819            8239            5975            2340
 392.5   147011  10510     2171       361       98       11875            8442            5890            2492
 393.5   144000  10110     2292       368       51       11619            8687            6071            2263
 394.5   143902  10760     2185       466       42       11560            8187            5526            2271
 395.5   141915  10720     2183       329       35       11233            7819            5560            2020
 396.5   144475  10070     2338       252       66       11500            8394            6012            2301
 397.5   146145   9980     2139       302       46       11253            8546            5900            2154
 398.5   142909  10500     1884       371       47       11636            7936            6048            2050
 399.5   144024  10760     2246       292       41       11254            8670            5459            2371
 400.5   140664  10090     1806       286       32       11147            8130            5440            2170
 401.5   142246  10200     2096       358       39       10971            7255            5300            2080
 402.5   139330  10441     2052       304       48       10949            7639            5561            1990
 403.5   141386  10030     2147       341       60       11354            7692            5535            2050
 404.5   142064  10420     1850       292       49       10687            8026            5390            1994
 405.5   136117   9780     1944       367       47       10924            7423            5321            2030
 406.5   137920   9840     1798       441       48       11211            7600            5632            1870
 407.5   137081   9950     1911       278       60       10321            7366            4933            1682
 408.5   136667   9950     2106       353       11       10672            7469            5230            2110
 409.5   134069  10320     1834       324       43        9948            7899            4960            1892
 410.5   134702  10780     1910       306       39       10415            7766            5276            1870
 411.5   133725  10280     1906       288       20       10207            7740            5154            1810
 412.5   136414   9890     1815       314       58       10403            7379            4973            1740
 413.5   132282  10482     2030       328       20       10150            7393            5211            2040
 414.5   132300   9780     1838       239       37        9979            7653            5223            2110
 415.5   131519   9950     1812       243       20        9531            7516            5250            1380
 416.5   130571   9930     1738       180       31       10127            7023            4813            1720
 417.5   127532  10060     1682       255       13       10341            6992            4934            1990
 418.5   132363  10000     1654       275        0        9947            6749            5080            1670
 419.5   125235   9680     1888       271       39        9972            6850            4662            1410
 420.5   129897   9541     1640       253       33        9615            7057            4663            1580
 421.5   126187   9570     1834       305       29        9428            6689            4831            1550
 422.5   130123   9607     1797       220       57        9545            7047            4341            1620
 423.5   127409   9470     1702       248       58        9187            7124            4970            1490
 424.5   125630   8770     1547       313       66        9468            6800            4252            1140
 425.5   121287   8940     1682       243       55        9114            6832            4654            1610
 426.5   122933   9300     1723       240       20        8919            6530            4661            1300
 427.5   121846   8870     1588       259       20        9700            6791            4470            1400
 428.5   123709   8920     1524       233       63        9837            6768            4490            1276
 429.5   121664   9200     1658       225       40        9937            6210            4170            1490
 430.5   121697   8740     1910       246       28        8988            6951            4281            1280
 431.5   119677   9190     1495       252       10        9263            6423            4161            1310
 432.5   119569   8931     1377       287        4        8880            6222            4001            1360
 433.5   124036   9510     1596       121       28        8900            6542            4509            1280
 434.5   116602   9060     1411       297       12        9102            6456            4010            1240
 435.5   116405   8760     1681       279       64        9244            6630            3951            1310
 436.5   117623   8290     1513       248       27        8761            5823            3688            1000
 437.5   116146   8600     1746       219       11        7886            5900            4141            1383
 438.5   114976   8660     1581       178       13        8138            6254            3961            1090
 439.5   118018   8660     1456       234        2        8617            5990            3520            1250
 440.5   114823   8300     1616       237       68        8431            5731            3650             992
 441.5   115513   8890     1646       208       13        8298            5980            3703             890
 442.5   112827   8011     1637       182       39        8226            6231            3711             990
 443.5   114259   8640     1602       214       20        8448            5987            3914            1070
 444.5   110923   8300     1554       168       23        8223            5831            3736             930
 445.5   112615   8480     1560       165       21        7958            5843            3570            1041
 446.5   111403   8610     1474       128       63        8366            5604            3301            1010
 447.5   109464   7737     1607       132       11        7927            5552            3480             970
 448.5   108091   7850     1376       291       12        7882            5604            3453             980
 449.5   112082   8410     1518       213       19        7877            5580            3581             940
 450.5   109838   8300     1533       239       28        8299            5743            3749             910
 451.5   108032   8100     1438       196       11        7632            5293            3368             930
 452.5   107810   8160     1336       282        9        8161            4959            3487             810
