
#set lw 2
#plot 'e20.txt' u 1:2 w li ti 'SinAbsorb', 'e20.txt' u 1:3 w li ti 'G4 MSC', 'e20.txt' u 1:4 w li ti 'G4 SingleSC', 'e20.txt' u 1:5 w li ti 'LEPTS'
		    
#E(keV)       el0     el20        el20s         el20lpt
       		   
 457.5        10443   7693         7499           8920
 458.5        10034   7756         7561           8571
 459.5         9969   7300         7220           9061
 460.5         9815   7392         7090           8645
 461.5         9888   7220         7454           7884
 462.5        10230   7590         7281           9653
 463.5         9801   7320         7042           8113
 464.5         9946   7400         7335           9853
 465.5        10174   7110         7067           9161
 466.5         9987   7420         7257           9112
 467.5         9735   7460         7131           7915
 468.5         9667   7140         6581           7787
 469.5         9556   7370         6888           8524
 470.5         9402   7240         6464           7902
 471.5         9388   7027         6633           9567
 472.5         9487   7020         6717           9191
 473.5         9106   7160         6595           7840
 474.5         9412   6890         6680          10254
 475.5         8757   6540         6529           8309
 476.5         9305   6760         6710           7879
 477.5         8971   6340         6241           8093
 478.5         9016   6630         6336           7356
 479.5         8845   6640         6740           7013
 480.5         8755   6630         6147           8738
 481.5         8993   6590         6102           7740
 482.5         9160   7000         6292           7042
 483.5         8991   6530         6337           6900
 484.5         8802   6480         6344           6646
 485.5         8706   6500         6084           8790
 486.5         8627   6563         5992           6512
 487.5         8276   6160         6090           7600
 488.5         8220   5850         5970           6937
 489.5         8331   6210         6268           6569
 490.5         8176   5730         5956           6542
 491.5         8288   6040         6024           6403
 492.5         8072   5720         5784           7214
 493.5         7907   5870         5385           7747
 494.5         8044   5750         5271           7295
 495.5         7762   5580         5495           6576
 496.5         7806   5863         5460           6479
 497.5         7822   5811         5479           5751
 498.5         7880   5667         5115           5932
 499.5         7617   5482         4804           7061
 500.5         7394   5420         4896           6413
 501.5         7483   5430         5191           7065
 502.5         8012   5120         5070           6147
 503.5         7341   5620         4929           6108
 504.5         7346   5220         4817           5682
 505.5         7176   5170         4865           5852
 506.5         7271   5350         5031           7212
 507.5         7001   5100         5233           4820
 508.5         7601   5020         4964           5463
